URL,ASIN,Title,Brand,Fulfillment,BSR,Price,Monthly Sales,Monthly Revenue,Review Count,Reviews Rating,Seller,Number of Active Sellers,Last Year Sales,Size Tier,Length,Width,Height,Weight,Storage Fee (Jan - Sep),Storage Fee (Oct - Dec),Best Sales Period,Age (Month),Number of Images,Variation Count,Sales to Reviews
https://amazon.com/dp/B09M7SS25C,B09M7SS25C,"Nate's Florida 100% Pure, Raw & Unfiltered Honey - 32 oz. Squeeze Bottle - All-natural Sweetener",Nature Nate's,Amazon,20888,12.96,615,7970.4,732,4.8,Amazon,1,0,Large Standard-Size,2.44,3.31,7.32,2.09,N/A,N/A,08/01/2024,35,9,2,0.84
https://amazon.com/dp/B00RHX9OV4,B00RHX9OV4,"Glorybee, White Clover Honey, US Grade A Honey, 48 oz",GloryBee,Amazon,22461,26.45,339,8966.55,1420,4.5,Amazon,1,4673,Large Standard-Size,4.21,4.25,5.39,3.13,N/A,N/A,01/01/2023,118,5,3,0.24
https://amazon.com/dp/B0874XJ5DT,B0874XJ5DT,Nate's 100% Pure Raw & Unfiltered Honey and Comb - 16oz. Jar,Nature Nate's,Amazon,17025,12.99,694,9015.06,60007,4.7,Amazon,2,10375,Large Standard-Size,2.44,2.56,4.96,1.08,N/A,N/A,09/01/2024,38,5,0,0.01
https://amazon.com/dp/B09RQ97G12,B09RQ97G12,VONBEE Passion Fruit Honey Puree 2.6LBS,Passion Fruit,FBA,28663,25.54,310,7917.4,207,4.2,Premium Convenience,8,3096,Large Standard-Size,4.13,4.8,11.38,3.77,113.58,313.33,12/01/2023,59,1,0,1.5
https://amazon.com/dp/B01N98XN7X,B01N98XN7X,Smiley Honey - 100% Tupelo Honey Raw and Unfiltered (16 oz),Smiley Honey,FBA,31777,27.99,273,7641.27,885,4.7,Mixt Solutions,1,0,Large Standard-Size,2.01,3.39,5.75,0.95,19.73,54.42,12/01/2023,118,7,0,0.31
https://amazon.com/dp/B0BTSTFTNJ,B0BTSTFTNJ,"Gold Fern Honey - Raw New Zealand Manuka Honey | 1.1lb Certified MGO 100+ | Pure, Natural, Genuine, Unpasteurized, and Unfiltered Superfood Honey, Traceable from Hive to Hand.",Gold Fern Honey,FBA,37128,28.99,269,7798.31,92,4.6,Gold Fern Honey,1,0,Large Standard-Size,2.6,2.64,4.41,1.19,15.24,42.04,05/01/2024,20,8,0,2.93
https://amazon.com/dp/B07P7J8BCQ,B07P7J8BCQ,"Savannah Bee Company Honey - Pure, Natural, Raw Honey",Savannah Bee Company,FBA,17902,8.48,312,2645.76,373,4.7,D&S TRADING CORP,2,3645,Large Standard-Size,3.19,3.43,4.8,0.58,26.41,72.87,09/01/2024,77,8,13,0.84
https://amazon.com/dp/B099RHJYBX,B099RHJYBX,Steens Manuka Honey - MGO 50+ - Pure & Raw 100% Certified Manuka Honey - Bottled and Sealed in New Zealand - 12oz in Squeezy Bottle,Steens,FBA,12889,11.9,628,7473.2,138,4.2,Steens Honey,3,4162,Large Standard-Size,1.85,1.93,5.98,0.82,10.75,29.65,09/01/2024,39,9,0,4.55
https://amazon.com/dp/B075F2HHK9,B075F2HHK9,Black Seed Honey with Cinnamon & Turmeric - Natural Honey - Gluten Free Honey - Non GMO - Unheated - Unfiltered 500g / 17.6oz,Mujeza Al Shifa,FBA,18912,14.99,329,4931.71,1789,4.4,Honey World Inc,1,1084,Large Standard-Size,3.74,4.53,6.3,1.21,53.74,148.24,02/01/2023,64,9,22,0.18
https://amazon.com/dp/B00HPJNP92,B00HPJNP92,"Mujezat Al-Shifa Black Seed Honey (Black Cumin - Nigella Seeds) 500g, 17.6oz",Mujeza Al Shifa,FBA,27696,28.99,329,9537.71,1789,4.4,Honey World Inc,1,1084,Large Standard-Size,2.64,2.64,4.41,1.21,15.47,42.69,02/01/2023,92,7,22,0.18
https://amazon.com/dp/B06XGP4MW9,B06XGP4MW9,"Black Seed Honey with Fresh Ginger Juice, Unheated, Unfiltered, Unprocessed 100% Natural Raw Liquid Honey - Immune Booster 500g / 17.6oz",Mujeza Al Shifa,FBM,28337,24.99,329,8221.71,1789,4.4,Honey World Inc,2,1084,Large Standard-Size,2.68,4.49,9.25,1.19,N/A,N/A,02/01/2023,92,6,22,0.18
https://amazon.com/dp/B0B1SNDX8B,B0B1SNDX8B,Birch & Meadow Granulated Honey (1 Gallon),BIRCH & MEADOW,FBA,29696,44.99,165,7423.35,115,4.4,Axio Supply,1,2276,Large Standard-Size,7.75,8.5,8.5,6.75,281.91,777.69,02/01/2024,29,6,3,1.44
https://amazon.com/dp/B08LMH76HL,B08LMH76HL,"BIOSOTA Organic Manuka Honey MGO 1717+ - Medical Grade Manuka Honey from Australia NPA/ULF 31+, 100% Raw Unheated Pure Honey, 8.8oz",BIOSOTA,FBA,66304,199,37,7363,52,3.7,BIOSOTA Organics,3,400,Large Standard-Size,4.09,4.53,6.02,1.06,56.16,154.91,02/01/2023,48,9,0,0.71
https://amazon.com/dp/B086KJ18V2,B086KJ18V2,Local Hive Rocky Mountain Raw Unfiltered Honey 16oz. 100% US honey sourced from American bees and beekeepers.,Local Hive Honey,FBA,16454,11.5,575,6612.5,317,4.7,Local Hive,1,0,Large Standard-Size,1.73,2.83,6.06,1.06,14.94,41.21,09/01/2024,53,9,2,1.81
https://amazon.com/dp/B0BG6MRX83,B0BG6MRX83,Local Hive Rocky Mountain Raw Unfiltered Honey 32oz. 100% US honey sourced from American bees and beekeepers.,Local Hive Honey,FBA,12303,21.99,575,12644.25,317,4.7,Local Hive,2,0,Large Standard-Size,2.13,3.62,7.17,2.11,27.78,76.63,09/01/2024,25,9,2,1.81
